BGG_ID,DESIGNER_ID,DESIGNER_NAME,DESIGNER_POB_CITY,DESIGNER_POB_ST-PROV,DESIGNER_POB_CTRY
224517,32887,Gavan Brown,Calgary,Alberta,Canada
224517,32943,Matt Tolman,Calgary,Alberta,Canada
224517,6,Martin Wallace,Manchester,England,United Kingdom
161936,442,Rob Daviau,Boston,Massachusetts,United States
161936,378,Matt Leacock,,California,United States
174430,69802,Isaac Childres,,California,United States
342942,138517,Mathias Wigge,,Lippstadt,Germany
233078,96049,Dane Beltrami,Minneapolis,Minnesota,United States
233078,6651,Corey Konieczka,Minneapolis,Minnesota,United States
233078,21,Christian T. Petersen,Seattle,Washington,United States
316554,92370,Paul Dennen,Providence,Rhode Island,United States
167791,52075,Jacob Fryxelius,,,Sweden
115746,3247,Roberto Di Meglio,,Pisa,Italy
115746,934,Marco Maggi,,,Uruguay
115746,935,Francesco Nepitello,,,Italy
187645,6651,Corey Konieczka,Minneapolis,Minnesota,United States
291457,69802,Isaac Childres,,California,United States
162886,16615,R. Eric Reuss,Boston,Massachusetts,United States
220308,4300,Jens Drögemüller,Hesse,,Germany
220308,4407,Helge Ostertag,,,Germany
12333,3876,Ananda Gupta,,Maryland,United States
12333,3877,Jason Matthews,Washington D.C.,Washington D.C.,United States
182028,789,Vlaada Chvátil,,Jihlava,Czech Republic
193738,11767,Alexander Pfister,,Vienna,Austria
84876,4958,Stefan Feld,,Baden-Wurttemberg,Germany
169786,62640,Jamey Stegmaier,St. Louis,Missouri,United States
246900,13000,Touko Tahkokallio,,Helsinki,Finland
173346,9714,Antoine Bauza,,Valence,France
173346,1727,Bruno Cathala,,Haute-Savole,France
28720,6,Martin Wallace,Manchester,England,United Kingdom
167355,61569,Adam Kwapiński,,Lublin,Poland
266507,37507,Andy Clautice,Denver,Colorado,United States
266507,92370,Paul Dennen,Providence,Rhode Island,United States
177736,10,Uwe Rosenberg,Aurich,,Germany
124361,6045,Mac Gerdts,Hamburg,,Germany
295770,69802,Isaac Childres,,California,United States
341169,11767,Alexander Pfister,,Vienna,Austria
205637,11655,Nate French,Cleveland,Ohio,United States
205637,40573,MJ Newman,Minneapolis,Minnesota,United States
312484,127823,Elwen,Prague,,Czech Republic
312484,127822,Mín,Prague,,Czech Republic
266192,111338,Elizabeth Hargrave,Washington D.C.,Washington D.C.,United States
120677,4300,Jens Drögemüller,Hesse,,Germany
120677,4407,Helge Ostertag,,,Germany
237182,35585,Cole Wehrle,Fort Wayne,Indiana,United States
192135,60315,Josh J. Carlson,Plymouth,Minnesota,United States
192135,60311,Adam Carlson,Plymouth,Minnesota,United States
164928,158,Reiner Stockhausen,,,Germany
397598,92370,Paul Dennen,Providence,Rhode Island,United States
96848,789,Vlaada Chvátil,,Jihlava,Czech Republic
251247,108836,Tommaso Battista,Rome,,Italy
251247,35418,Simone Luciani,Fermo,,Italy
324856,45563,Thomas Sing,,,Germany
199792,91302,James A. Wilson,Portland,Oregon,United States
183394,62640,Jamey Stegmaier,St. Louis,Missouri,United States
183394,62641,Alan Stone,St. Louis,Missouri,United States
366013,80520,Asger Harding Granerud,Copenhagen,,Denmark
366013,80521,Daniel Skjold Pedersen,Copenhagen,,Denmark
285774,119800,Michael Boggs,Roseville,MN,United States
285774,11655,Nate French,Cleveland,Ohio,United States
285774,69895,Caleb Grace,Roseville,MN,United States
175914,270,Jeroen Doumen,Twente,,Netherlands
175914,407,Joris Wiersinga,Arnhem,,Netherlands
256960,35585,Cole Wehrle,Fort Wayne,Indiana,United States
247763,9307,Vladimír Suchý,Praha,,Czech Republic
284378,12396,Vital Lacerda,Lisbon,,Portugal
3076,117,Andreas Seyfarth,Munich,,Germany
521,3,(Uncredited),Unknown,,Unknown
295947,122804,Randy Flynn,Seattle,Washington,United States
102794,10,Uwe Rosenberg,Aurich,,Germany
185343,76227,Dávid Turczi,Leiden,,Netherlands
185343,76971,Richard Amann,Irvine,California,United States
185343,76578,Viktor Peter,Budapest,,Hungary
184267,12396,Vital Lacerda,Lisbon,,Portugal
314040,442,Rob Daviau,Boston,Massachusetts,United States
314040,378,Matt Leacock,,California,United States
170216,1533,Eric M. Lang,Toronto,Ontario,Canada
31260,10,Uwe Rosenberg,Aurich,,Germany
255984,11854,Ryan Laukat,Salt Lake City,Utah,United States
161533,12396,Vital Lacerda,Lisbon,,Portugal
253344,442,Rob Daviau,Boston,Massachusetts,United States
253344,1533,Eric M. Lang,Toronto,Ontario,Canada
221107,442,Rob Daviau,Boston,Massachusetts,United States
221107,378,Matt Leacock,,California,United States
373106,140103,Luc Rémond,,,France
251661,99777,Jamie Jolly,Ipswitch,Queensland,Australia
205059,69718,Nikki Valens,Unknown,,Unknown
231733,102328,Dan Hallagan,,Ohio,United States
321608,35005,Vangelis Bagiartakis,Athens,,Greece
321608,130887,Varnavas Timotheou,,Nicosia,Cyprus
126163,35418,Simone Luciani,Fermo,,Italy
126163,59986,Daniele Tascini,,,Italy
182874,6817,Virginio Gigli,,,Italy
182874,35418,Simone Luciani,Fermo,,Italy
2651,141,Friedemann Friese,Stadthagen,Lower-Saxony,Germany
276025,11767,Alexander Pfister,,Vienna,Austria
244521,80162,Wolfgang Warsch,Steyr,,Austria
216132,69679,Juma Al-JouJou,Berlin,,Germany
35677,10,Uwe Rosenberg,Aurich,,Germany
266810,103821,S J Macdonald,,,New Zealand
266810,12547,Shem Phillips,,,New Zealand
125153,12396,Vital Lacerda,Lisbon,,Portugal
164153,72460,Justin Kemppainen,St. Paul,Minnesota,United States
164153,6651,Corey Konieczka,Minneapolis,Minnesota,United States
164153,78796,Jonathan Ying,San Diego,California,United States
124742,14,Richard Garfield,Philadelphia,Pennsylvania,United States
124742,62803,Lukas Litzsinger,Seattle,Washington,United States
209010,95102,Chris Cantrell,Los Angeles,California,United States
209010,18140,Rick Ernst,Los Angeles,California,United States
209010,63691,Stone Librande,Milpitas,California,United States
209010,95101,Prashant Saraswat,Los Angeles,California,United States
209010,95100,Nathan Tiras,Los Angeles,California,United States
284083,45563,Thomas Sing,,,Germany
55690,25578,Adam Poots,New York,New York,United States
200680,10,Uwe Rosenberg,Aurich,,Germany
230802,42,Michael Kiesling,Bremen,,Germany
28143,150,Thomas Lehmann,Palo Alto,California,United States
157354,1727,Bruno Cathala,,Haute-Savole,France
383179,4407,Helge Ostertag,,,Germany
72125,13000,Touko Tahkokallio,,Helsinki,Finland
201808,92370,Paul Dennen,Providence,Rhode Island,United States
191189,126022,Jenny Iglesias,,,
191189,72770,Nick Little (I),,,
191189,88122,Kevin Riley,,,
159675,10,Uwe Rosenberg,Aurich,,Germany
229853,59986,Daniele Tascini,,,Italy
110327,15913,Peter Lee,Renton,Washington,United States
110327,13261,Rodney Thompson,Chattanooga,Tennessee,United States
317985,129749,Dennis K. Chan,Hong Kong,,Hong Kong
25613,789,Vlaada Chvátil,,Jihlava,Czech Republic
93,7,Wolfgang Kramer,Stuttgart,,Germany
93,8,Richard Ulrich,Stuttgart,,Germany
62219,6331,Chad Jensen,San Francisco,California,United States
365717,92370,Paul Dennen,Providence,Rhode Island,United States
68448,9714,Antoine Bauza,,Valence,France
121921,117118,Joanna Kijanka,Ruda Slaska,Slaskie,Poland
121921,4735,Ignacy Trzewiczek,Knurow,,Poland
171623,35418,Simone Luciani,Fermo,,Italy
171623,59986,Daniele Tascini,,,Italy
256916,6045,Mac Gerdts,Hamburg,,Germany
279537,65581,Matthew O'Malley,Takoma Park,Maryland,United States
279537,60749,Ben Rosset,Chicago,Illinois,United States
332772,109214,Helge Meissner,,,Norway
332772,4063,Kristian Amundsen Østby,Oslo,,Norway
332772,9637,Eilif Svensson,Mjøndalen,,Norway
332772,109215,Anna Wermlund,,,Norway
366161,111338,Elizabeth Hargrave,Washington D.C.,Washington D.C.,United States
291453,116503,Kei Kajino (梶野 桂),Tokyo,,Japan
225694,82239,Thomas Dagenais-Lespérance,Montreal,Quebec,Canada
264220,42812,Krzysztof Piskorski,Wroclaw,,Poland
264220,106124,Marcin Świerkot,Wroclaw,,Poland
155821,6997,Christian Martinez,Lille,,France
37111,6651,Corey Konieczka,Minneapolis,Minnesota,United States
236457,103821,S J Macdonald,,,New Zealand
236457,12547,Shem Phillips,,,New Zealand
163068,76971,Richard Amann,Irvine,California,United States
163068,76578,Viktor Peter,Budapest,,Hungary
322289,35418,Simone Luciani,Fermo,,Italy
322289,52377,Nestore Mangone,Trebisacce,Calabria,Italy
310873,11312,Xavier Georges,Namur,,Belgium
122515,7448,Sebastian Bleasdale,Windsor,,United Kingdom
122515,134,Richard Breese,Coventry,,United Kingdom
170042,12547,Shem Phillips,,,New Zealand
42,2,Reiner Knizia,Illertissen,,Germany
40834,10525,Donald X. Vaccarino,,,United States
364073,50969,Marc André,Paris,,France
364073,1727,Bruno Cathala,,Haute-Savole,France
18602,5629,William Attia,Paris,,France
203993,6818,Flaminia Brasini,Rome,,Italy
203993,6817,Virginio Gigli,,,Italy
203993,35418,Simone Luciani,Fermo,,Italy
73439,38335,Sébastien Dujardin,Liege,Liege,Belgium
73439,11312,Xavier Georges,Namur,,Belgium
73439,7369,Alain Orban,Liege,Liege,Belgium
146021,6651,Corey Konieczka,Minneapolis,Minnesota,United States
146021,69718,Nikki Valens,Unknown,,Unknown
271055,63686,Luke Laurie,Santa Maria,California,United States
172386,11767,Alexander Pfister,,Vienna,Austria
277659,53303,Evan Derrick,Portland,Oregon,United States
277659,48981,A. J. Porfirio,New York City,New York,United States
269385,76251,Nathan I. Hajek,Minneapolis,Minnesota,United States
269385,102932,Grace Holdinghaus,St. Paul,Minnesota,United States
217372,2,Reiner Knizia,Illertissen,,Germany
371942,77002,Isra C.,Madrid,,Spain
371942,77173,Shei S.,Madrid,,Spain
180263,51255,Ludovic Roudy,Paris,,France
180263,51055,Bruno Sautter,Paris,,France
12493,21,Christian T. Petersen,Seattle,Washington,United States
163412,10,Uwe Rosenberg,Aurich,,Germany
144733,2748,Helmut Ohley,Muenchen,,Germany
144733,1828,"Leonhard ""Lonny"" Orgler",Wiener Neudorf,,Austria
102680,4958,Stefan Feld,,Baden-Wurttemberg,Germany
36218,10525,Donald X. Vaccarino,,,United States
12,2,Reiner Knizia,Illertissen,,Germany
4098,366,John Bohrer,,,
4098,6,Martin Wallace,Manchester,England,United Kingdom
205896,1533,Eric M. Lang,Toronto,Ontario,Canada
43015,1018,Andreas Steding,Goettingen,Lower Saxony,Germany
218417,126022,Jenny Iglesias,,,
218417,72770,Nick Little (I),,,
218417,88122,Kevin Riley,,,
310100,61569,Adam Kwapiński,,Lublin,Poland
175640,12396,Vital Lacerda,Lisbon,,Portugal
380607,11767,Alexander Pfister,,Vienna,Austria
233371,92370,Paul Dennen,Providence,Rhode Island,United States
198928,41726,Jesús Torres Castro,Cordoba,Andalusia,Spain
198928,378,Matt Leacock,,California,United States
175155,71982,Samuel Bailey,Minneapolis,Minnesota,United States
175155,64445,James Kniffen,Minneapolis,Minnesota,United States
175155,6651,Corey Konieczka,Minneapolis,Minnesota,United States
196340,39436,Hisashi Hayashi,,,Japan
178900,789,Vlaada Chvátil,,Jihlava,Czech Republic
172287,57793,Ole Steiness,Copenhagen,,Denmark
240980,105325,Steven Medway,Sydney,,Australia
227935,74031,Tim Eisner,Portland,Oregon,United States
227935,101831,Ben Eisner,Portland,Oregon,United States
227935,81505,Ian Moss,Ohio,Columbus,United States
266524,107084,Henry Audubon,Philadelphia,Pennsylvania,United States
254640,51255,Ludovic Roudy,Paris,,France
254640,51055,Bruno Sautter,Paris,,France
132531,11555,Wei-Hwa Huang,Mountain View,California,United States
132531,150,Thomas Lehmann,Palo Alto,California,United States
281259,94322,Frank West,Bristol,England,United Kingdom
337627,5864,Nigel Buckle,London,England,United Kingdom
337627,76227,Dávid Turczi,Leiden,,Netherlands
30549,378,Matt Leacock,,California,United States
220877,6940,Inka Brand,Cologne,,Germany
220877,6941,Markus Brand,Cologne,,Germany
118048,57305,Andreas Steiger,Stuttgart,,Germany
263918,109218,Jordy Adan,Curitiba,Parana,Brazil
304783,103500,Bobby Hill,Kapiti Coast,Wellington,New Zealand
262712,150,Thomas Lehmann,Palo Alto,California,United States
147020,4113,Robert Dougherty,Framingham,Massachussetts,United States
147020,4059,Darwin Kastle,Maynard,Massachussetts,United States
161970,75718,Matúš Kotry,Brno,South Moravia,Czech Republic
274364,34699,Matthias Cramer,Cologne,,Germany
390092,442,Rob Daviau,Boston,Massachusetts,United States
390092,378,Matt Leacock,,California,United States
390092,9,Alan R. Moon,Southampton,England,United Kingdom
189932,15913,Peter Lee,Renton,Washington,United States
189932,13261,Rodney Thompson,Chattanooga,Tennessee,United States
189932,27343,Andrew Veen,Seattle,Washington,United States
271324,66017,Frédéric Guérard,Lille,Hauts-de-France,France
308765,9307,Vladimír Suchý,Praha,,Czech Republic
268864,90410,Trevor Benjamin,,,Canada
268864,67071,David Thompson (I),Dayton,Ohio,United States
14996,9,Alan R. Moon,Southampton,England,United Kingdom
463,14,Richard Garfield,Philadelphia,Pennsylvania,United States
463,146871,David Iezzi,Seattle,Washington,United States
127023,10395,Jacques Bariot,,,France
127023,10393,Guillaume Montiage,,,France
34635,928,Bernd Brunnhofer,Graz,,Austria
2511,1221,Raymond Edwards,San Francisco,California,United States
