BGG_ID,DESIGNER_ID,DESIGNER_NAME,DESIGNER_POB_CITY,DESIGNER_POB_ST-PROV,DESIGNER_POB_CTRY
224517,32887,Gavan Brown,Calgary,AB,CA
224517,32943,Matt Tolman,Calgary,AB,CA
224517,6,Martin Wallace,Manchester,,UK
161936,442,Rob Daviau,Boston,MA,US
161936,378,Matt Leacock,,CA,US
174430,69802,Isaac Childres,,CA,US
342942,138517,Mathias Wigge,Lippstadt,,DE
233078,96049,Dane Beltrami,Minneapolis,MN,US
233078,6651,Corey Konieczka,Minneapolis,MN,US
233078,21,Christian T. Petersen,Seattle,WA,US
316554,92370,Paul Dennen,Providence,RI,US
167791,52075,Jacob Fryxelius,,,SE
115746,3247,Roberto Di Meglio,Pisa,,IT
115746,934,Marco Maggi,,,UY
115746,935,Francesco Nepitello,,,IT
162886,16615,R. Eric Reuss,Boston,MA,US
220308,4300,Jens Drögemüller,Hesse,,DE
220308,4407,Helge Ostertag,,,DE
12333,3876,Ananda Gupta,,MD,US
12333,3877,Jason Matthews,Washington D.C.,Washington D.C.,US
182028,789,Vlaada Chvátil,Jihlava,,CZ
193738,11767,Alexander Pfister,Vienna,,AT
84876,4958,Stefan Feld,Baden-Wurttemberg,,DE
169786,62640,Jamey Stegmaier,St. Louis,MO,US
246900,13000,Touko Tahkokallio,Helsinki,,FI
173346,9714,Antoine Bauza,Valence,,FR
173346,1727,Bruno Cathala,Haute-Savole,,FR
167355,61569,Adam Kwapiński,Lublin,,PL
266507,37507,Andy Clautice,Denver,CO,US
177736,10,Uwe Rosenberg,Aurich,,DE
124361,6045,Mac Gerdts,Hamburg,,DE
205637,11655,Nate French,Cleveland,OH,US
205637,40573,MJ Newman,Minneapolis,MN,US
312484,127823,Elwen,Prague,,CZ
312484,127822,Mín,Prague,,CZ
266192,111338,Elizabeth Hargrave,Washington D.C.,Washington D.C.,US
237182,35585,Cole Wehrle,Fort Wayne,IN,US
192135,60315,Josh J. Carlson,Plymouth,MN,US
192135,60311,Adam Carlson,Plymouth,MN,US
164928,158,Reiner Stockhausen,,,DE
251247,108836,Tommaso Battista,Rome,,IT
251247,35418,Simone Luciani,Fermo,,IT
324856,45563,Thomas Sing,,,DE
199792,91302,James A. Wilson,Portland,OR,US
183394,62641,Alan Stone,St. Louis,MO,US
366013,80520,Asger Harding Granerud,Copenhagen,,DK
366013,80521,Daniel Skjold Pedersen,Copenhagen,,DK
285774,119800,Michael Boggs,Roseville,MN,US
285774,69895,Caleb Grace,Roseville,MN,US
175914,270,Jeroen Doumen,Twente,,NL
175914,407,Joris Wiersinga,Arnhem,,NL
247763,9307,Vladimír Suchý,Praha,,CZ
284378,12396,Vital Lacerda,Lisbon,,PT
3076,117,Andreas Seyfarth,Munich,,DE
521,3,(Uncredited),Unknown,,UNK
295947,122804,Randy Flynn,Seattle,WA,US
185343,76227,Dávid Turczi,Leiden,,NL
185343,76971,Richard Amann,Irvine,CA,US
185343,76578,Viktor Peter,Budapest,,HU
170216,1533,Eric M. Lang,Toronto,ON,CA
255984,11854,Ryan Laukat,Salt Lake City,UT,US
373106,140103,Luc Rémond,,,FR
251661,99777,Jamie Jolly,Queensland,,AU
205059,69718,Nikki Valens,Unknown,,UNK
231733,102328,Dan Hallagan,,OH,US
321608,35005,Vangelis Bagiartakis,Athens,,GR
321608,130887,Varnavas Timotheou,Nicosia,,CY
126163,59986,Daniele Tascini,,,IT
182874,6817,Virginio Gigli,,,IT
2651,141,Friedemann Friese,Stadthagen,,DE
244521,80162,Wolfgang Warsch,Steyr,,AT
216132,69679,Juma Al-JouJou,Berlin,,DE
266810,103821,S J Macdonald,,,NZ
266810,12547,Shem Phillips,,,NZ
164153,72460,Justin Kemppainen,St. Paul,MN,US
164153,78796,Jonathan Ying,San Diego,CA,US
124742,14,Richard Garfield,Philadelphia,PA,US
124742,62803,Lukas Litzsinger,Seattle,WA,US
209010,95102,Chris Cantrell,Los Angeles,CA,US
